authorSource,authorDest,score
"b'Shirabe, M'","b'Hayashi, T'",6.643856189774724
"b'Shailendra, K'","b'Lakshmi, VV'",6.643856189774724
"b'Persson, O'","b'Larsen, IM'",6.643856189774724
"b'Leta, J'","b'Dos Santos, NF'",6.643856189774724
"b'Lemarie, S'","b'Coronini, R'",6.643856189774724
"b'Kinnucan, MT'","b'Ajiferuke, I'",6.643856189774724
"b'Heinz, M'","b'Czerwon, HJ'",6.643856189774724
"b'Garfield, E'","b'Fuseler, EA'",6.643856189774724
"b'Dillon, SM'","b'Bocock, D'",6.643856189774724
"b'Pellenbarg, R'","b'Braun, T'",6.6380641235188005
"b'Leta, J'","b'Fonseca, L'",6.558395873488646
"b'Sharma, L'","b'Karki, MMS'",6.549883987364815
"b'Sharma, L'","b'Jain, A'",6.549883987364815
"b'Kumar, S'","b'Karki, MMS'",6.549883987364815
"b'Karki, MMS'","b'Jain, A'",6.549883987364815
"b'Karki, MMS'","b'Gupta, BM'",6.549883987364815
"b'Visser, MS'","b'Van Vuren, HG'",6.465783006321439
"b'Visser, MS'","b'Van Der Wurff, LJ'",6.465783006321439
"b'Visser, MS'","b'Bruins, EEW'",6.465783006321439
"b'Van Vuren, HG'","b'Van Vijk, E'",6.465783006321439
"b'Van Vuren, HG'","b'Van Der Wurff, LJ'",6.465783006321439
"b'Van Vuren, HG'","b'Nederhof, AJ'",6.465783006321439
"b'Van Vijk, E'","b'Van Der Wurff, LJ'",6.465783006321439
"b'Van Vijk, E'","b'Bruins, EEW'",6.465783006321439
"b'Van Der Wurff, LJ'","b'Nederhof, AJ'",6.465783006321439
"b'Van Der Wurff, LJ'","b'Bruins, EEW'",6.465783006321439
"b'Nederhof, AJ'","b'Bruins, EEW'",6.465783006321439
"b'Michelet, B'","b'Jagodzinskisigogneau, M'",6.245210937406143
"b'Michelet, B'","b'Feillet, H'",6.245210937406143
"b'Limoges, C'","b'Callon, M'",6.245210937406143
"b'Cambrosio, A'","b'Callon, M'",6.245210937406143
"b'Rousseau, R'","b'Kundra, R'",6.202685798254745
"b'Rousseau, R'","b'Guo, YZ'",6.202685798254745
"b'Kundra, R'","b'Guo, YZ'",6.202685798254745
"b'Ramirez, AM'","b'Karypis, G'",5.895918436663438
"b'Ramirez, AM'","b'Cortes, HD'",5.895918436663438
"b'Ramirez, AM'","b'Bedford, CD'",5.895918436663438
"b'Karypis, G'","b'Humenik, JA'",5.895918436663438
"b'Karypis, G'","b'Garcia, EO'",5.895918436663438
